2009.05.05 05:41:10,GPSD=050509,GPST=054109.000,LAT=6723.6388,NS=N,LONG=2636.8107,EW=E,T=17.96,U=26.9,T1=25.238,T2=25.048,T3=25.082,T4=25.537,UVB1=0.000,UVB2=0.000,UVB3=0.001,UVB4=0.010,SR4=9.952,SR5=9.952,SR6=10.718,SR7=10.718,AntHeight=210,GeoidHeight=22
2009.05.05 06:18:20,GPSD=050509,GPST=061819.000,LAT=6723.6354,NS=N,LONG=2636.8474,EW=E,T=2.81,U=77.5,T1=25.017,T2=24.975,T3=24.895,T4=25.323,UVB1=0.085,UVB2=0.003,UVB3=0.079,UVB4=0.011,SR4=923.243,SR5=81.913,SR6=1378.741,SR7=178.371,AntHeight=175,GeoidHeight=22
2009.05.05 06:18:30,GPSD=050509,GPST=061829.000,LAT=6723.6355,NS=N,LONG=2636.8475,EW=E,T=2.79,U=77.7,T1=25.017,T2=25.231,T3=24.914,T4=24.988,UVB1=0.086,UVB2=0.002,UVB3=0.079,UVB4=0.002,SR4=1255.488,SR5=90.334,SR6=1761.511,SR7=246.504,AntHeight=180,GeoidHeight=22
2009.05.05 06:18:40,GPSD=050509,GPST=061839.000,LAT=6723.6354,NS=N,LONG=2636.8488,EW=E,T=2.79,U=78.0,T1=25.002,T2=25.135,T3=24.929,T4=24.988,UVB1=0.086,UVB2=0.002,UVB3=0.073,UVB4=0.002,SR4=1082.476,SR5=87.272,SR6=1437.687,SR7=195.979,AntHeight=184,GeoidHeight=22
2009.05.05 06:18:50,GPSD=050509,GPST=061849.000,LAT=6723.6350,NS=N,LONG=2636.8503,EW=E,T=2.79,U=77.9,T1=24.994,T2=24.800,T3=24.948,T4=24.805,UVB1=0.087,UVB2=0.002,UVB3=0.074,UVB4=0.002,SR4=997.501,SR5=83.444,SR6=1283.048,SR7=167.654,AntHeight=185,GeoidHeight=22
2009.05.05 06:19:00,GPSD=050509,GPST=061859.000,LAT=6723.6349,NS=N,LONG=2636.8507,EW=E,T=2.79,U=78.3,T1=24.967,T2=25.109,T3=24.979,T4=24.683,UVB1=0.087,UVB2=0.003,UVB3=0.071,UVB4=0.002,SR4=878.842,SR5=80.382,SR6=1093.194,SR7=136.266,AntHeight=186,GeoidHeight=22
2009.05.05 06:19:10,GPSD=050509,GPST=061909.000,LAT=6723.6350,NS=N,LONG=2636.8493,EW=E,T=2.81,U=78.9,T1=24.937,T2=25.273,T3=25.002,T4=25.262,UVB1=0.087,UVB2=0.002,UVB3=0.064,UVB4=0.011,SR4=817.599,SR5=75.023,SR6=997.501,SR7=122.487,AntHeight=184,GeoidHeight=22
2009.05.05 06:19:20,GPSD=050509,GPST=061919.000,LAT=6723.6351,NS=N,LONG=2636.8488,EW=E,T=2.85,U=79.0,T1=24.906,T2=24.994,T3=25.025,T4=24.957,UVB1=0.086,UVB2=0.002,UVB3=0.053,UVB4=0.001,SR4=778.556,SR5=71.195,SR6=858.172,SR7=95.693,AntHeight=182,GeoidHeight=22
2009.05.05 06:19:30,GPSD=050509,GPST=061929.000,LAT=6723.6356,NS=N,LONG=2636.8546,EW=E,T=2.85,U=78.1,T1=24.884,T2=24.903,T3=25.051,T4=25.018,UVB1=0.086,UVB2=0.003,UVB3=0.036,UVB4=0.001,SR4=748.700,SR5=68.899,SR6=588.702,SR7=69.664,AntHeight=185,GeoidHeight=22
2009.05.05 06:19:40,GPSD=050509,GPST=061939.000,LAT=6723.6355,NS=N,LONG=2636.8555,EW=E,T=2.87,U=77.8,T1=24.876,T2=25.215,T3=25.070,T4=24.866,UVB1=0.085,UVB2=0.002,UVB3=0.063,UVB4=0.001,SR4=727.265,SR5=69.664,SR6=763.245,SR7=77.320,AntHeight=183,GeoidHeight=22
2009.05.05 06:19:50,GPSD=050509,GPST=061949.000,LAT=6723.6352,NS=N,LONG=2636.8531,EW=E,T=2.85,U=78.3,T1=24.884,T2=25.223,T3=25.090,T4=24.713,UVB1=0.084,UVB2=0.002,UVB3=0.062,UVB4=0.002,SR4=725.734,SR5=68.133,SR6=916.353,SR7=91.865,AntHeight=179,GeoidHeight=22
